"as_of_date","centre_name","country","is_service_facility","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-17","Integrated Core Facility for Functional Genomics","Taiwan","True","24.9767219253,121.53711319","1","0","0","0","0","0","1","0"
"2010-03-17","Istanbul University","Turkey","True","41.017469619,28.933095932","1","1","0","0","0","0","0","0"
"2010-03-17","KACST","Saudi Arabia","False","24.6669863852,46.6918945312","1","0","0","0","0","0","1","0"
"2010-03-17","Kansas State Uni","United States","None","39.181175,-96.591797","1","1","0","0","0","0","0","0"
"2010-03-17","Keygene","Netherlands","None","51.976831,5.6462","1","0","0","0","0","0","1","0"
"2010-03-17","King Abdul Aziz University Hospital","Saudi Arabia","False","21.4931649439,39.2486572266","1","0","0","0","0","0","1","0"
"2010-03-17","KPS Biotechnology & Healthcare Services Ltd. ","Hungary","None","47.5158094625,19.0090084076","1","1","0","0","0","0","0","0"
"2010-03-17","KTH Gene Technology Sequencing Center","Sweden","None","59.353737,18.058519","1","1","0","0","0","0","0","0"
"2010-03-17","Laboratory of Molecular Technology","United States","False","39.4264184311,-77.414438009","2","2","0","0","0","0","0","0"
"2010-03-17","Laboratório Nacional de Luz Sincrotron","Brazil","False","-22.798654837,-47.0628547668","1","0","0","0","0","0","0","0"
"2010-03-17","LANGEBIO-CINVESTAV","Mexico","True","20.7132676675,-101.320921897","3","2","0","0","0","0","1","0"
"2010-03-17","Leiden University Medical Centre","Netherlands","None","52.1660415713,4.47502756171","4","1","2","0","0","0","0","0"
"2010-03-17","LGC Agowa","Germany","None","52.460403,13.527946","1","1","0","0","0","0","0","0"
"2010-03-17","Li Ka Shing Insitute of Health Sciences, CUHK","Hong Kong","True","22.3806745496,114.201872349","12","0","10","0","0","0","0","0"
"2010-03-17","LNCC - Laboratório Nacional de Computação Científica","Brazil","None","-22.532854,-43.207855","1","1","0","0","0","0","0","0"
"2010-03-17","Ludwig Institute for Cancer Research","Brazil","False","-23.5689481445,-46.6422758102","1","0","0","0","0","0","1","0"
"2010-03-17","Macrogen","South Korea","None","37.527154,127.089844","12","1","10","0","0","0","1","0"
"2010-03-17","Massachusetts General Hospital","United States","None","42.363491,-71.067638","2","0","0","0","0","0","1","0"
"2010-03-17","Max Planck Institute for Developmental Biology","Germany","False","48.5342688051,9.05488014221","2","0","2","0","0","0","0","0"
"2010-03-17","Max Planck Institute for Molecular Genetics","Germany","None","52.444253,13.273802","12","2","5","0","0","0","4","0"
"2010-03-17","Max Planck Institute for Molecular Genetics","Germany","None","52.440388,13.309003","1","0","0","0","0","0","1","0"
"2010-03-17","Mayo Clinic","United States","True","44.0199006495,-92.4666023254","4","1","2","0","0","0","1","0"
"2010-03-17","McGill, Genome Quebec","Canada","True","45.504903,-73.575268","5","2","1","0","0","0","0","0"
"2010-03-17","Memorial Sloan-Kettering Cancer Center","United States","None","40.765084,-73.95663","2","1","0","0","0","0","1","0"
"2010-03-17","Miami Institute of Human Genomics","United States","None","25.792473,-80.211182","3","0","1","0","0","0","2","0"
"2010-03-17","Michael Smith Genome Sciences Centre","Canada","True","49.264892,-123.115883","2","0","1","0","0","0","1","0"
"2010-03-17","Microsynth","Switzerland","None","47.406599,9.607029","1","1","0","0","0","0","0","0"
"2010-03-17","MissionBio","Taiwan","None","25.035839,121.612816","1","0","0","0","0","0","1","0"
