"as_of_date","centre_name","country","is_service_facility","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-17","Montpellier GenomiX","France","True","43.612217,3.878174","2","0","2","0","0","0","0","0"
"2010-03-17","Mount Sinai School of Medicine","United States","True","40.7898996853,-73.9532661438","3","0","2","0","0","0","0","0"
"2010-03-17","MPI EVA","Germany","None","51.328895,12.370605","2","1","1","0","0","0","0","0"
"2010-03-17","MRC Clinical Sciences Centre","United Kingdom","None","51.517663,-0.234833","2","1","1","0","0","0","0","0"
"2010-03-17","MRC hub Cambridge","United Kingdom","None","52.173721,0.138037","3","1","1","0","0","0","1","0"
"2010-03-17","MSU Research Technology Support Facility","United States","None","42.811522,-84.243164","2","1","1","0","0","0","0","0"
"2010-03-17","National Institute for Infectious Diseases - INMI ""L. Spallanzani"" - Rome","Italy","None","41.902277,12.65625","1","1","0","0","0","0","0","0"
"2010-03-17","NCGR Sequencing Center","United States","True","32.419385,-104.230042","8","0","8","0","0","0","0","0"
"2010-03-17","NCI Core Genotyping Facility","United States","None","39.1277964794,-77.1767234802","2","2","0","0","0","0","0","0"
"2010-03-17","NCMLS, dept. Molecular Biology","Netherlands","None","51.823896,5.865176","1","0","1","0","0","0","0","0"
"2010-03-17","NewGene","United Kingdom","None","54.967293,-1.62014","1","1","0","0","0","0","0","0"
"2010-03-17","NICEM","South Korea","None","37.457295,126.948459","2","1","1","0","0","0","0","0"
"2010-03-17","NIH Intramural Sequencing Center","United States","None","39.062382,-77.114325","2","1","1","0","0","0","0","0"
"2010-03-17","Northwestern University","United States","None","41.892694,-87.621202","1","0","0","0","0","0","1","0"
"2010-03-17","Norwegian High-Throughput Sequencing Centre (NSC)","Norway","True","59.9405729696,10.7209267622","4","2","2","0","0","0","0","0"
"2010-03-17","NYU Med School","United States","None","40.739844,-73.974895","2","1","1","0","0","0","0","0"
"2010-03-17","Ocimumbio","United States","None","39.15123,-77.231827","2","1","1","0","0","0","0","0"
"2010-03-17","Ohio State University","United States","None","40.004673,-83.0369","1","0","0","0","0","0","1","0"
"2010-03-17","OMRF Next Gen Sequencing Core","United States","True","35.4734007735,-97.5035891528","1","0","1","0","0","0","0","0"
"2010-03-17","Ontario Institute for Cancer Research","Canada","None","43.688729,-79.356995","15","0","7","0","0","0","7","0"
"2010-03-17","Oregon State University Center for Genome Research and Biocomputing (CGRB)","United States","True","44.5665820052,-123.281804323","1","0","0","0","0","0","0","0"
"2010-03-17","Ottawa Hospital Research Institute","Canada","None","45.4019524393,-75.646031856","1","0","1","0","0","0","0","0"
"2010-03-17","Penn State University, Genomics Core Facility","United States","True","40.7178418854,-77.7019040287","3","1","0","0","0","0","2","0"
"2010-03-17","Princess Alexandra Hospital","Australia","None","-27.4993813209,153.033021212","1","0","0","0","0","0","1","0"
"2010-03-17","Prognosys","United States","None","32.831135,-117.253647","1","0","1","0","0","0","0","0"
"2010-03-17","Purdue University","United States","True","40.4228404868,-86.9154596329","4","1","0","0","0","0","1","0"
"2010-03-17","Ramaciotti Centre for Gene Function Analysis","Australia","None","-33.888658,151.193848","2","1","1","0","0","0","0","0"
"2010-03-17","Rede Paraense de Genômica e Proteômica","Brazil","True","-1.466515,-48.4552","1","0","0","0","0","0","1","0"
"2010-03-17","Riken","Japan","None","35.442771,139.647217","5","0","0","0","0","0","1","0"
"2010-03-17","Russian Research Center Kurchatov Institute","Russia","False","55.7955035133,37.4764251709","6","0","3","0","0","0","2","0"
"2010-03-17","Scientific and Technical Services of the University of Barcelona","Spain","True","41.3816719398,2.11633640534","1","1","0","0","0","0","0","0"
"2010-03-17","Scripps Research Institute","United States","None","32.905749,-117.241373","1","0","1","0","0","0","0","0"
"2010-03-17","Seq-It","Germany","None","49.443017,7.758644","1","1","0","0","0","0","0","0"
"2010-03-17","Sequencing Facility","United States","False","39.1275379176,-77.1769080157","4","0","4","0","0","0","0","0"
"2010-03-17","sequencys","United States","None","32.8430182654,-117.279377818","1","0","1","0","0","0","0","0"
"2010-03-17","SeqWright","United States","None","29.684474,-95.409737","2","1","0","0","0","0","1","0"
"2010-03-17","ServiceXS","Netherlands","None","52.166772,4.475899","1","0","1","0","0","0","0","0"
"2010-03-17","Sir Henry Wellcome Functional Genomics Facility (SHWFGF)","United Kingdom","True","55.862982,-4.262695","1","0","1","0","0","0","0","0"
"2010-03-17","sistemas genomicos","Spain","None","39.504041,-0.440483","1","0","0","0","0","0","1","0"
"2010-03-17","Source Bioscience Geneservice","United Kingdom","None","52.942018,-1.164551","3","0","3","0","0","0","0","0"
"2010-03-17","Stowers Institute for Medical Research","United States","False","39.0371122873,-94.5751957297","1","0","1","0","0","0","0","0"
"2010-03-17","Swedish Institute for Infectious Disease Control","Sweden","None","59.357696,18.005905","1","1","0","0","0","0","0","0"
"2010-03-17","TAKARA BIO Inc. DragonGenomics Ctr.","Japan","None","34.990734,136.485032","6","3","2","0","0","0","1","0"
"2010-03-17","TechDragon","Hong Kong","True","22.390083667,114.207552195","1","0","0","0","0","0","1","0"
"2010-03-17","TGML, TAGC Inserm UMR928","France","False","43.2336976788,5.44132232666","1","0","0","0","0","0","1","0"
"2010-03-17","The centre for applied genomics","Canada","None","43.65744,-79.385834","3","1","1","0","0","0","1","0"
"2010-03-17","The Genome Analysis Centre","United Kingdom","None","52.621744,1.218946","6","2","2","0","0","0","2","0"
"2010-03-17","The Genome Center at Washington University","United States","None","38.6346440603,-90.2397143841","30","2","28","0","0","0","0","0"
"2010-03-17","The Institute for Research in Immunology and Cancer (IRIC) ","Canada","None","45.5002410666,-73.6153507233","1","0","0","0","0","0","1","0"
"2010-03-17","The Jackson Laboratory","United States","None","44.3644830691,-68.1967735291","1","0","1","0","0","0","0","0"
"2010-03-17","The London Regional Genomics Centre","Canada","True","43.0117570054,-81.2732323407","1","0","0","0","0","0","0","0"
"2010-03-17","The MRC National Institute for Medical Research","United Kingdom","None","51.617830025,-0.219769477844","1","0","1","0","0","0","0","0"
"2010-03-17","The Sainsbury Laboratory","United Kingdom","None","52.622272,1.222991","1","0","1","0","0","0","0","0"
"2010-03-17","The Sainsbury Laboratory","United Kingdom","False","52.62229803,1.22276544571","1","0","1","0","0","0","0","0"
"2010-03-17","Tokyo University","Japan","None","35.46067,139.746094","2","0","2","0","0","0","0","0"
"2010-03-17","Translational Genomics Research Institute (TGen)","United States","None","33.452784,-112.06707","7","0","2","0","0","0","5","0"
"2010-03-17","Trinity College Dublin, Dublin","Ireland","True","53.3416613201,-6.29422187805","1","0","1","0","0","0","0","0"
"2010-03-17","Tufts University Core Facility","United States","True","42.351472,-71.060214","1","0","1","0","0","0","0","0"
"2010-03-17","UC Davis","United States","True","38.507341,-121.764221","3","0","3","0","0","0","0","0"
"2010-03-17","UCD-Conway Institute","Ireland","None","53.307493,-6.227188","1","0","1","0","0","0","0","0"
"2010-03-17","UCL Genomics","United Kingdom","True","51.5245584458,-0.133222102595","6","1","2","0","0","0","1","0"
"2010-03-17","UConn Health Center Translational Genomics Core","United States","True","41.729946,-72.789745","1","0","1","0","0","0","0","0"
"2010-03-17","UCSC Genome Sequencing Center","United States","None","36.995972,-122.054672","2","1","0","0","0","0","1","0"
"2010-03-17","UCSF","United States","None","37.770036,-122.391772","1","0","1","0","0","0","0","0"
"2010-03-17","UMass Medical Center","United States","None","42.279324,-71.76525","1","0","0","0","0","0","1","0"
"2010-03-17","Unidad Universitaria de Secuenciación Masiva","Mexico","True","18.9829934242,-99.2342617213","1","0","1","0","0","0","0","0"
"2010-03-17","University Medical Center Groningen, Netherlands","Netherlands","None","53.223186,6.574438","1","0","1","0","0","0","0","0"
"2010-03-17","University of Aarhus","Denmark","None","56.1674958938,10.2037968641","1","0","1","0","0","0","0","0"
"2010-03-17","University of Arizona Genetics Core","United States","True","32.2374882171,-110.947151184","1","1","0","0","0","0","0","0"
"2010-03-17","University of Birmingham","United Kingdom","True","52.4507395825,-1.93441987038","2","1","0","0","0","0","1","0"
"2010-03-17","University of Bristol","United Kingdom","None","51.4566810699,-2.60375976562","1","0","1","0","0","0","0","0"
"2010-03-17","University of California, Berkeley","United States","None","37.875666,-122.244186","2","0","2","0","0","0","0","0"
"2010-03-17","University of California, Riverside","United States","None","33.97141,-117.324715","1","0","1","0","0","0","0","0"
"2010-03-17","University of Connecticut, Storrs","United States","None","41.8062534493,-72.2532176971","1","1","0","0","0","0","0","0"
"2010-03-17","University of Exeter","United Kingdom","None","50.735124,-3.534636","1","0","1","0","0","0","0","0"
"2010-03-17","University of Florida","United States","None","29.651361,-82.325363","2","1","0","0","0","0","1","0"
"2010-03-17","University of Freiburg Core Facility Genomics","Germany","None","48.007849,7.85677","1","0","1","0","0","0","0","0"
"2010-03-17","University of Graz, Austria","Austria","None","47.0585326693,15.4616872074","1","1","0","0","0","0","0","0"
"2010-03-17","University of Illinois","United States","None","40.106174,-88.218498","2","1","1","0","0","0","0","0"
"2010-03-17","University of Leicester","United Kingdom","None","52.598377,-1.100464","1","1","0","0","0","0","0","0"
"2010-03-17","University of Michigan DNA Sequencing Core/Affymetrix and Microarray Core Facility","United States","False","42.2849150011,-83.7340410946","8","1","3","0","0","0","2","0"
"2010-03-17","University of Missouri","United States","True","38.9380483826,-92.3241233826","1","0","1","0","0","0","0","0"
"2010-03-17","University of Nebraska Lincoln","United States","None","40.830924,-96.662564","1","1","0","0","0","0","0","0"
"2010-03-17","University of North Carolina - Chapel Hill","United States","None","35.905918,-79.046831","5","1","4","0","0","0","0","0"
"2010-03-17","University of Nottingham","United Kingdom","None","52.9394082472,-1.19709348626","1","1","0","0","0","0","0","0"
"2010-03-17","University of Oklahoma Advanced Center for Genome Technology","United States","True","35.1837702456,-97.439289093","1","1","0","0","0","0","0","0"
"2010-03-17","University of Oregon Highthroughput Sequencing Facility","United States","True","44.0560116958,-123.090820312","1","0","1","0","0","0","0","0"
"2010-03-17","University of Otago","New Zealand","None","-45.267155,169.650879","2","1","0","0","0","0","1","0"
"2010-03-17","University of Southern Denmark","Denmark","None","55.2861023249,10.7539673522","1","0","1","0","0","0","0","0"
"2010-03-17","University of Texas Genomic Sequencing and Analysis Facility","United States","True","30.2883283251,-97.7372932434","2","1","0","0","0","0","1","0"
"2010-03-17","University of the Western Cape","South Africa","None","-33.905756,18.625946","1","0","1","0","0","0","0","0"
"2010-03-17","University of Utah","United States","None","40.765787,-111.842794","1","0","1","0","0","0","0","0"
"2010-03-17","University of Veterinary Medicine Vienna","Austria","None","48.2542999895,16.4317027332","2","1","1","0","0","0","0","0"
"2010-03-17","University of Wisconsin Biotechnology Center Sequencing Facility","United States","None","43.075036,-89.411488","1","0","1","0","0","0","0","0"
"2010-03-17","University of York Technology Facility","United Kingdom","None","53.960454,-1.092303","1","1","0","0","0","0","0","0"
"2010-03-17","UPenn DNA Sequencing Facility","United States","None","39.951694,-75.191116","1","1","0","0","0","0","0","0"
