"as_of_date","centre_name","country","locality","is_service_facility","is_genome_centre","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-21","McGill, Genome Quebec","Canada","QC, Canada","True","None","45.504903,-73.575268","5","2","1","0","0","0","0","0"
"2010-03-21","Memorial Sloan-Kettering Cancer Center","United States","NY, United States","None","None","40.765084,-73.95663","2","1","0","0","0","0","1","0"
"2010-03-21","Miami Institute of Human Genomics","United States","FL, United States","None","None","25.792473,-80.211182","3","0","1","0","0","0","2","0"
"2010-03-21","Michael Smith Genome Sciences Centre","Canada","BC, Canada","True","False","49.264892,-123.115883","2","0","1","0","0","0","1","0"
"2010-03-21","Microsynth","Switzerland","Sankt Gallen, Switzerland","None","None","47.406599,9.607029","1","1","0","0","0","0","0","0"
"2010-03-21","MissionBio","Taiwan","台北市, Taiwan","None","None","25.035839,121.612816","1","0","0","0","0","0","1","0"
"2010-03-21","Molecular Biology Core Facilities at Dana Farber Cancer Institute","United States","MA, United States","True","False","42.3464049793,-71.1018767953","1","0","0","0","0","0","0","0"
"2010-03-21","Montpellier GenomiX","France","Languedoc-Roussillon, France","True","False","43.612217,3.878174","2","0","2","0","0","0","0","0"
"2010-03-21","Moores UCSD Cancer Center","United States","CA, United States","False","False","32.8791546815,-117.222576141","1","0","0","0","0","0","1","0"
"2010-03-21","Mount Sinai School of Medicine","United States","NY, United States","True","False","40.7898996853,-73.9532661438","3","0","2","0","0","0","0","0"
"2010-03-21","MPI EVA","Germany","Sachsen, Germany","None","None","51.328895,12.370605","2","1","1","0","0","0","0","0"
"2010-03-21","MRC Clinical Sciences Centre","United Kingdom","Greater London, United Kingdom","None","None","51.517663,-0.234833","2","1","1","0","0","0","0","0"
"2010-03-21","MRC hub Cambridge","United Kingdom","Cambridgeshire, United Kingdom","None","None","52.173721,0.138037","3","1","1","0","0","0","1","0"
"2010-03-21","MSU Research Technology Support Facility","United States","MI, United States","None","None","42.811522,-84.243164","2","1","1","0","0","0","0","0"
"2010-03-21","National Institute for Infectious Diseases - INMI ""L. Spallanzani"" - Rome","Italy","Lazio, Italy","None","False","41.902277,12.65625","1","1","0","0","0","0","0","0"
"2010-03-21","NCGR Genome Center","United States","NM, United States","True","None","32.419385,-104.230042","9","0","8","0","0","0","0","0"
"2010-03-21","NCI Core Genotyping Facility","United States","MD, United States","None","None","39.1277964794,-77.1767234802","2","2","0","0","0","0","0","0"
"2010-03-21","NCMLS, dept. Molecular Biology","Netherlands","Gelderland, Netherlands","None","None","51.823896,5.865176","1","0","1","0","0","0","0","0"
"2010-03-21","NewGene","United Kingdom","Newcastle Upon Tyne, United Kingdom","None","None","54.967293,-1.62014","1","1","0","0","0","0","0","0"
"2010-03-21","NICEM","South Korea",", South Korea","None","None","37.457295,126.948459","2","1","1","0","0","0","0","0"
"2010-03-21","NIH Intramural Sequencing Center","United States","MD, United States","None","None","39.062382,-77.114325","2","1","1","0","0","0","0","0"
"2010-03-21","NIH NIAID Rocky Mtn Labs","United States","Hamilton, MT, United States","False","False","46.245400802,-114.154815674","3","1","1","0","0","0","1","0"
"2010-03-21","Northwestern University","United States","IL, United States","None","None","41.892694,-87.621202","1","0","0","0","0","0","1","0"
"2010-03-21","Norwegian High-Throughput Sequencing Centre (NSC)","Norway","Oslo, Norway","True","None","59.9405729696,10.7209267622","4","2","2","0","0","0","0","0"
"2010-03-21","NYU Langone Medical Center","United States","NY, United States","True","False","40.739844,-73.974895","2","1","1","0","0","0","0","0"
"2010-03-21","Ocimumbio","United States","MD, United States","None","None","39.15123,-77.231827","2","1","1","0","0","0","0","0"
"2010-03-21","Ohio State University","United States","OH, United States","None","None","40.004673,-83.0369","1","0","0","0","0","0","1","0"
"2010-03-21","OMRF Next Gen Sequencing Core","United States","OK, United States","True","None","35.4734007735,-97.5035891528","1","0","1","0","0","0","0","0"
"2010-03-21","Ontario Institute for Cancer Research","Canada","ON, Canada","None","None","43.688729,-79.356995","15","0","7","0","0","0","7","0"
"2010-03-21","Oregon State University Center for Genome Research and Biocomputing (CGRB)","United States","OR, United States","True","None","44.5665820052,-123.281804323","1","0","0","0","0","0","0","0"
"2010-03-21","Oregon State University CGRB Core Lab","United States","OR, United States","None","False","44.5665705398,-123.281965256","2","0","1","0","0","0","0","0"
"2010-03-21","Ottawa Hospital Research Institute","Canada","ON, Canada","True","None","45.4019524393,-75.646031856","3","0","1","0","0","0","0","0"
"2010-03-21","Penn State University, Genomics Core Facility","United States","PA, United States","True","True","40.7178418854,-77.7019040287","3","1","0","0","0","0","2","0"
"2010-03-21","Princess Alexandra Hospital","Australia","QLD, Australia","None","None","-27.4993813209,153.033021212","1","0","0","0","0","0","1","0"
"2010-03-21","Prognosys","United States","CA, United States","None","None","32.831135,-117.253647","1","0","1","0","0","0","0","0"
"2010-03-21","Purdue University","United States","IN, United States","True","True","40.4228404868,-86.9154596329","4","1","0","0","0","0","1","0"
"2010-03-21","Ramaciotti Centre for Gene Function Analysis","Australia","NSW, Australia","None","None","-33.888658,151.193848","2","1","1","0","0","0","0","0"
"2010-03-21","Rede Paraense de Genômica e Proteômica","Brazil","Belém - PA, Brazil","True","False","-1.466515,-48.4552","1","0","0","0","0","0","1","0"
"2010-03-21","Riken","Japan","神奈川県, Japan","None","None","35.442771,139.647217","5","0","0","0","0","0","1","0"
"2010-03-21","Russian Research Center Kurchatov Institute","Russia","Moscow, Russia","False","False","55.7955035133,37.4764251709","6","0","3","0","0","0","2","0"
"2010-03-21","SCIBLU - Swegene Centre for Integrative Biology at Lund University","Sweden","Lund, Sweden","False","False","55.7106850618,13.195245266","2","0","0","0","0","0","0","0"
"2010-03-21","Scientific and Technical Services of the University of Barcelona","Spain","CT, Spain","True","False","41.3816719398,2.11633640534","1","1","0","0","0","0","0","0"
"2010-03-21","Scripps Research Institute","United States","CA, United States","None","None","32.905749,-117.241373","1","0","1","0","0","0","0","0"
"2010-03-21","Scripps Translational Science Institute","United States","CA, United States","False","False","32.8992452914,-117.240407467","3","0","2","0","0","0","1","0"
"2010-03-21","Seq-It","Germany","Rheinland-Pfalz, Germany","None","None","49.443017,7.758644","1","1","0","0","0","0","0","0"
"2010-03-21","Sequencing Facility","United States","MD, United States","False","False","39.1275379176,-77.1769080157","4","0","4","0","0","0","0","0"
"2010-03-21","sequencys","United States","CA, United States","None","None","32.8430182654,-117.279377818","1","0","1","0","0","0","0","0"
"2010-03-21","SeqWright","United States","TX, United States","None","None","29.684474,-95.409737","2","1","0","0","0","0","1","0"
"2010-03-21","ServiceXS","Netherlands","Zuid-Holland, Netherlands","None","None","52.166772,4.475899","1","0","1","0","0","0","0","0"
"2010-03-21","Sir Henry Wellcome Functional Genomics Facility (SHWFGF)","United Kingdom","University of Glasgow, Glasgow, United Kingdom","True","False","55.8726143055,-4.29256439209","2","0","1","0","0","0","0","0"
